superAdjFV_rnk,adjFV_rnk,avgFV_rnk,ofpFV_rnk,superAdj_FV,adj_FV,avg_FV,ofp_FV,PV,FV,*BIO*,fnames,lnames,year,age,position,bats,throws,height,weight,p_type,FV_pts,FV_weight,*IDs*,prospect_id,mlb_id,mlb_draft_id,fg_major_id,fg_minor_id,*FG*,FGOvrRnk,FG_DraftRank,FG_OrgRank,FG_DraftPick,FGSchool,FG_Level,FG_Signed,FG_Team,FG_Athleticism,FG_Performer,FG_Risk,FG_Variance,FG_ETA,FG_FV,FG_Video,FG_ShortBlurb,FG_Blurb,*mlb*,MLB_School,MLB_Team,MLB_Drafted,MLB_Signed,MLB_ETA,MLB_FV,MLB_Blurb,*mi*,mi_team,mi_teamRank,mi_grade,mi_eta,mi_FV,*MLB_PRO*,MLB_OrgRank,MLB_OvrRank,*MLB_DRAFT*,MLB_Grade,MLB_Commit,*OFP*,FG_Hitters_pOFP,FG_Hitters_fOFP,MLB_Hitters_OFP,FG_Pitchers_pOFP,FG_Pitchers_fOFP,MLB_Pitchers_OFP,*BONUS_OFP*,MaxVelo_Bonus,FastballRPM_Bonus,BreakingRPM_Bonus,Athleticism_Bonus,Performance_Bonus,Trend_Bonus,*FG_HIT*,Hit_present,GamePower_present,RawPower_present,Speed_present,Field_present,Throws_present,Hit_future,GamePower_future,RawPower_future,Speed_future,Field_future,Throws_future,*FG_PITCH*,TJ_Date,Fastball_RPM,Breaking_RPM,Command_present,Fastball_present,Changeup_present,Curveball_present,Slider_present,Cutter_present,Splitter_present,Command_future,Fastball_future,Changeup_future,Curveball_future,Slider_future,Cutter_future,Splitter_future,*MLB_HIT*,hit,power,run,arm,field,*MLB_PITCH*,fastball,change,curve,slider,cutter,splitter,other,control,NSBL_Team,NSBL_Salary,NSBL_Year
357,382,353,504,"""44.3""","""43.6""","""42.0""","""49.8""","""37.7""","""50.9""","""|""","""Wander""","""Javier""",2020,"""21.4""","""SS""","""R""","""R""","""73""","""185""","""professional""",168,4,"""|""",1078,665820,,,"""sa917168""","""|""",,,12,,"""Dominican Republic""","""A""",,"""MIN""",1,,,,2022,42,"""KQM2BzjyTNU""",,"""There are instances when knowing less about a prospect actually improves the industry's view of them. There's space to dream and fill in the gaps in the profile with optimism, as we may not know that relevant underlying issues lurk beneath the surface. Such was the case with Javier, who signed for a IFA franchise record $4 million back in 2015 and basically missed two of his four pro seasons due to quad and hamstring injuries, along with labrum surgery.   Finally (mostly) healthy in 2019, Javier went to full-season ball, struck out a ton, and hit .177. His bat-to-ball ability and pitch recognition are not great, but part of that is surely because he hasn't seen a lot of pro pitching due to the injuries. We're not moving off of Javier entirely -- he's just too talented. He still has a frame typical of power-hitting SS/3B types, he's athletic enough to play either of those spots, and he already has notable raw power for his age. But in the last year we've gone from not knowing much about his contact/approach to knowing it's either not good or lags way behind because of the lack of reps.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""37.7""","""50.9""",,,,,"""|""",,,,1.0,,0.0,"""|""",30,30,45,55,45,60,50,45,55,50,55,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""TOR""",0.500,"""XXX"""
358,335,354,414,"""44.3""","""44.1""","""42.0""","""50.5""","""43.9""","""51.1""","""|""","""Hector""","""Yan""",2020,"""21.1""","""LHP""","""L""","""L""","""71""","""180""","""professional""",168,4,"""|""",2665,666668,,,"""sa917194""","""|""",,,8,,"""Dominican Republic""",,,"""LAA""",,,,,2023,42,"""EboHSr3UyHU""",,"""Yan is like a mirror image of Freddy Peralta. Like Peralta, he's best-suited to attack hitters with a lot of fastballs. Several aspects of Yan's delivery enable his heater to dominate even though he only averaged 92 mph last year. He's a long-armed side-armer with a cross-bodied delivery, which means he is releasing the ball way behind the backs of left-handed hitters, and his fastball has weird angle in on the hands of righties. The rest of the repertoire isn't great. Yan's slider lives almost entirely off of his arm slot and really only works against left-handed hitters, and he doesn't throw his changeup with conviction yet. I think he'll move to the bullpen where I believe he'll experience a velo bump and work with a 70-grade heater. He'll still need to develop a way to deal with righties to pitch in high-leverage spots. If he does, he'll be a high-leverage arm.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""43.9""","""51.1""",,"""|""",0.5000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2150,2450,35,60,40,,45,,,40,70,50,,50,,,"""|""",,,,,,"""|""",,,,,,,,,,,
359,662,723,837,"""44.2""","""41.8""","""40.0""","""46.4""","""46.4""","""46.4""","""|""","""Devin""","""Williams""",2020,"""25.7""","""RHP""","""R""","""R""","""75""","""165""","""professional""",160,4,"""|""",159,642207,,15816,"""sa737560""","""|""",,,20,,"""Hazelwood West HS (MO)""","""MLB""",,"""MIL""",1,,,,2020,40,"""NWfaOZ0wU_Q""",,"""Williams has been hurt a lot and is now 25 and still walking lots of batters, but his heater touched 100 last year and his breaking stuff fits in a relief role. He's big league ready.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""46.4""","""46.4""",,"""|""",1.5000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2300,2700,30,65,40,50,55,,,30,65,40,50,55,,,"""|""",,,,,,"""|""",,,,,,,,,"""NYM""",0.500,"""XXX"""
360,569,724,586,"""44.2""","""42.4""","""40.0""","""49.1""","""45.6""","""49.4""","""|""","""Jacob""","""Wallace""",2020,"""21.8""","""RHP""","""R""","""R""","""73""","""190""","""professional""",160,4,"""|""",2855,686608,"""wallace_jacob""",,"""sa3010374""","""|""",,,21,,"""Connecticut""","""A""",,"""COL""",1,,,,2023,40,,,"""Wallace has a starter's mix -- mid-90s heat with tail, a changeup with mirroring movement, a sweeping slider -- but his arm action is long and low, so he likely projects in relief. There's clear industry appetite for varied mechanical looks, and Wallace provides one.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""45.6""","""49.4""",,"""|""",0.5000,0.0000,0.5000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2500,2850,40,50,50,,45,,,45,50,55,,50,,,"""|""",,,,,,"""|""",,,,,,,,,,,
361,475,965,7,"""44.2""","""43.0""","""37.0""","""59.4""","""52.5""","""60.0""","""|""","""Eduardo""","""Herrera""",2020,"""20.4""","""RHP""","""R""","""R""","""69""","""165""","""professional""",148,4,"""|""",3328,,,,"""sa3002702""","""|""",,,39,,"""Venezuela""","""A-""",,"""ARI""",1,,,,2023,37,,,"""In the last year or so the D-backs have tried more former position players on the mound than most all of the orgs we monitor in Arizona, and Herrera is one such player. He signed as a catcher, then quickly moved to third, and finally to the mound in his third pro season. His fastball was 94-97 almost immediately. The D-backs sent him right to the Northwest League despite erratic command and breaking ball quality. He's a developmental relief prospect with premium arm strength.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""52.5""","""60.0""",,"""|""",0.7500,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2400,2250,,60,,45,,,,,70,,50,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
362,456,344,777,"""44.2""","""43.1""","""42.0""","""47.2""","""40.0""","""47.8""","""|""","""Jose""","""Soriano""",2020,"""21.6""","""RHP""","""R""","""R""","""75""","""168""","""professional""",168,4,"""|""",1934,667755,,,"""sa916702""","""|""",,,14,,"""Dominican Republic""","""A""",,"""LAA""",,,,,2022,42,"""CUj52ZM2wzU""",,"""Soriano had Tommy John in February. It was already pretty clear that his future would be in the bullpen, but the surgery, and what it does to his developmental timeline, make it even more likely. He experienced another velo bump last year (not as huge as the jump from 2017 to '18) and was touching 99 as a starter at Low-A Burlington.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""40.0""","""47.8""",,"""|""",1.2500,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",0002-06-20,2250,2300,30,55,30,50,,,,40,60,40,55,,,,"""|""",,,,,,"""|""",,,,,,,,,"""HOU""",0.500,"""XXX"""
363,394,725,171,"""44.2""","""43.5""","""40.0""","""53.0""","""49.4""","""53.3""","""|""","""Kodi""","""Whitley""",2020,"""25.3""","""RHP""","""R""","""R""","""76""","""220""","""professional""",160,4,"""|""",3332,,,,"""sa3004708""","""|""",,,15,,"""Mount Olive""","""AAA""",,"""STL""",,,,,2020,40,,,"""Whitley and his Josh Collmenter-style delivery carved the upper levels in 2019, posting a 1.60 ERA mostly at Double- and Triple-A. He had a velocity uptick during the summer (93-96, touch 98) but it was down a bit during Whitley's Fall League stint (more 92-93, touch 94 or 95). He lives at the top of the strike zone and gets his swings and misses there, while his secondary stuff gets help from his delivery, which puzzles opposing hitters. He has worked multiple innings, working against seven hitters over two frames when things go smoothly for him, but for now, we have him projected as being a good middle relief piece very soon, and maybe more if that peak velo comes back and sticks.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""49.4""","""53.3""",,"""|""",1.0000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2350,2150,45,60,45,,50,,,50,60,50,,55,,,"""|""",,,,,,"""|""",,,,,,,,,,,
364,395,345,478,"""44.2""","""43.5""","""42.0""","""50.0""","""35.0""","""51.4""","""|""","""Everson""","""Pereira""",2020,"""19.1""","""CF""","""R""","""R""","""72""","""190""","""professional""",168,4,"""|""",1943,677592,,,"""sa3007034""","""|""",,,20,,"""Venezuela""","""A-""",,"""NYY""",1,,,,2022,42,,,"""He was viewed as a polished hitter with middling tools as an amateur but Pereira swung through a lot of pitches in the zone last year, albeit in a small statistical sample and at a level much higher than is typical for a hitter his age. Pereira  went to the Penn League as an 18-year-old and whiffed in over a third of his paltry 74 plate appearances before injuring his ankle and getting shelved for the summer. His swing seemed more uphill than it was before he signed, and he's the first of several recent prominent amateurs on this list dealing with developmental growing pains. 2019 was basically a wash for Pereira, who had a reasonable shot to be an everyday center fielder just 12 months ago.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""35.0""","""51.4""",,,,,"""|""",,,,1.0,,0.0,"""|""",25,20,50,55,45,55,50,50,50,55,55,55,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""NYM""",0.500,"""XXX"""
365,396,346,456,"""44.2""","""43.5""","""42.0""","""50.2""","""33.2""","""51.8""","""|""","""Luis""","""Rodriguez""",2020,"""17.7""","""CF""","""R""","""R""","""74""","""175""","""professional""",168,4,"""|""",2674,691177,,,,"""|""",,,17,,"""Venezuela""",,,"""LAD""",1,,,,2025,42,,,"""Rodriguez, who signed for $2.6 million last July, is a feel and instincts center field prospect with advanced feel to hit and a medium frame. Though it caps his power projection, Rodriguez's modest size gives him a better chance of staying in center field. He has table-setting, leadoff man characteristics, but is probably four or five years away from the big leagues.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""33.2""","""51.8""",,,,,"""|""",,,,1.0,,0.0,"""|""",25,45,20,55,40,55,55,55,45,50,50,55,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
366,397,347,434,"""44.2""","""43.5""","""42.0""","""50.3""","""34.1""","""51.8""","""|""","""Misael""","""Urbina""",2020,"""18.1""","""CF""","""R""","""R""","""72""","""175""","""professional""",168,4,"""|""",2313,682618,,,"""sa3008743""","""|""",,,10,,"""Venezuela""","""R""",,"""MIN""",1,,,,2023,42,"""rflqhRGiZ0I""",,"""Urbina was one of the more advanced hitters in his July 2 signing class from both a bat control and physical development perspective. He was also one of the youngest. Currently an above-average runner, there's a fair chance he ends up in left field due to a lack of top-end speed, though it might depend on how his body develops.   Urbina's power projection is somewhat limited by his size, which may be an issue if he does eventually move to a corner. He's an explosive rotator though, and this guy's power doesn't just come from size and strength, but rather a an upper body that unwinds kind of like Yuli Gurriel's does. Urbina also has many promising bat-to-ball traits -- timing, hand-eye coordination, all-fields feel -- at a young age. He's one of the high priority Florida minor league/extended spring prospects to see, and we currently have him FV'd just a shade behind the top prep outfielders in the 2020 class.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""34.1""","""51.8""",,,,,"""|""",,,,1.0,,0.0,"""|""",25,25,45,55,40,40,55,50,50,50,50,45,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
367,398,348,404,"""44.2""","""43.5""","""42.0""","""50.6""","""32.3""","""52.3""","""|""","""Jose""","""Tena""",2020,"""19.2""","""SS""","""L""","""R""","""69""","""160""","""professional""",168,4,"""|""",2773,677588,,,"""sa3005482""","""|""",,,21,,"""Dominican Republic""","""R""",,"""CLE""",1,,,,2024,42,,,"""Tena would be in the 40+ FV tier were he not so aggressive at the plate, but early indicators are that he suffers from Vitters' Affliction, swinging so often because, for now, his excellent feel for contact is enabling an approach that's less likely to be tenable at the upper levels. That feel for contact comes despite a sometimes noisy, wild swing that has Tena's wheels spinning as he's trying to run out of the batter's box. That he has such strong, top-to-bottom plate coverage, even when he's swinging out of his ass, makes him exciting from a contact/power potential combo standpoint. Might as well turn him loose and let him swing like that since it doesn't seem to impact his quality of contact as much as <em>what</em> he decides to swing at does. The skillset and build evoke Rougie Odor.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""32.3""","""52.3""",,,,,"""|""",,,,1.0,,0.0,"""|""",25,20,40,55,40,55,55,50,50,55,50,55,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
368,399,349,373,"""44.2""","""43.5""","""42.0""","""50.9""","""30.9""","""52.7""","""|""","""Reginald""","""Preciado""",2020,"""17.0""","""3B""","""S""","""R""","""76""","""180""","""professional""",168,4,"""|""",2691,691262,,,,"""|""",,,15,,"""Panama""",,,"""SDP""",1,,,,2025,42,"""KwU4e2Gwrts""",,"""This is what the upper crust of international free agents look like, those for whom a Goldilocks Zone of development exists. Preciado is a strapping 6-foot-4 and has infield hands, feet, and actions, which means he may grow into huge power as that frame fills out but remain agile enough to stay at short, which would make him a superstar. Though that outcome is not the likeliest (based on how Preciado is built, I have him projected to third and think he'll end up there before he reaches the bigs), the several that exists below that optimal scenario are still very good. Preciado has precocious barrel feel for a 16-year-old hitter his size, let alone one who switch-hits. He's not very balanced, especially from the right side, comfort that hopefully comes with reps.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""30.9""","""52.7""",,,,,"""|""",,,,1.0,,0.0,"""|""",25,20,40,40,40,50,55,50,60,40,50,55,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
369,378,726,166,"""44.2""","""43.6""","""40.0""","""53.1""","""50.6""","""53.3""","""|""","""Packy""","""Naughton""",2020,"""24.1""","""LHP""","""R""","""L""","""74""","""195""","""professional""",160,4,"""|""",2636,676050,,,"""sa913120""","""|""",,,20,,"""Virginia Tech""","""AA""",,"""CIN""",1,,,,2021,40,,,"""Pitchers whose best attributes are their command and a changeup often outperform industry expectations, and even though Naughton's fastball only averaged 89 mph last year, I think he'll do the same. He's funky and deceptive, hides the ball well, creates tough angle in on righties' hands, and then drops that changeup on them. Naughton's curveball isn't great, but he can throw it for strikes. I like him in a multi-inning relief role a la Ryan Yarbrough.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""50.6""","""53.3""",,"""|""",0.0000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2000,2100,55,45,55,45,,,,60,45,60,45,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
370,379,727,118,"""44.2""","""43.6""","""40.0""","""53.8""","""46.7""","""54.4""","""|""","""Victor""","""Vodnik""",2020,"""20.6""","""RHP""","""R""","""R""","""72""","""200""","""professional""",160,4,"""|""",3132,,,,"""sa3008527""","""|""",,,14,,"""Rialto HS (CA)""","""A""",,"""ATL""",,,,,2023,40,"""GxwNnM9irZ0""",,"""Vodnik got on the national stage hitting 97 mph in the fall before his draft year, but his size and 87-90 mph draft spring velo kept him from becoming a high pick. The Braves scooped him up late and got him back to 92-95, touching 98 mph, with solid average offspeed in instructional league the fall after the draft. He made another stuff jump in 2019.   Vodnik is a good athlete with plus extension, particularly for his size, and he'll run his heater up to 100 while mixing in a plus breaking ball and throwing more strikes than Jasseel De La Cruz. But Vodnik is still on the smaller side, and is more butcher than surgeon. Given the athleticism and lack of experience with his current arm speed, Atlanta is optimistic and wants Vodnik to tell them what sort of role suits him best going forward, with one to two inning relief stints most likely.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""46.7""","""54.4""",,"""|""",1.0000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2350,2200,40,60,40,50,,,,50,65,50,55,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
371,350,350,569,"""44.2""","""43.9""","""42.0""","""49.2""","""46.7""","""49.4""","""|""","""Tony""","""Santillan""",2020,"""23.1""","""RHP""","""R""","""R""","""75""","""240""","""professional""",168,4,"""|""",1291,663574,"""santillan_antonio""",,"""sa874781""","""|""",,,9,,"""Seguin HS (TX)""",,,"""CIN""",,,,,2020,42,"""JnLLIhP5nfU""",,"""Santillan's strike-throwing regressed to his career norms in 2019 and his velocity is now squarely in the low-90s. He was also put on the IL twice with shoulder and triceps injuries. It's possible a bullpen move will cause Santillan's high school and early pro velo to resurface and he could pitch in leveraged relief, but if he continues to start, he's looking more like a backend guy than a potential mid-rotation piece.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""46.7""","""49.4""",,"""|""",0.5000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2200,2400,40,50,45,,55,,,45,50,50,,55,,,"""|""",,,,,,"""|""",,,,,,,,,"""COL""",0.500,"""XXX"""
