player_name,teams,end_year,start_year,years,ip,k_9,bb_9,k_bb,hr_9,FIP,park_FIP,FIP_minus,FIP_WAR,ERA,park_ERA,ERA_minus,ERA_WAR
Corey Knebel,Ari,2020,2015,5,243.7,12.52,3.95,3.25,1.48,3.880,3.829,99.48,0.74,4.470,4.411,114.66,-1.07
Corey Lee,CIN,2006,2006,1,9.3,2.89,8.68,0.33,0.00,5.441,5.423,125.27,-0.03,2.890,2.881,66.54,0.26
Cory Bailey,DET,2008,2008,1,49.3,4.93,3.10,1.59,0.55,4.120,4.093,92.17,0.32,5.470,5.434,122.37,-0.44
Cory Burns,NYN,2014,2014,1,50.7,9.59,3.02,3.18,0.89,3.375,3.432,91.21,0.36,3.730,3.793,100.81,0.12
Cory Doyne,TOR,2008,2008,1,7.7,7.04,3.52,2.00,3.52,8.086,8.168,183.95,-0.30,5.870,5.929,133.53,-0.11
Cory Gearrin,Min/Tex/Det,2020,2012,8,488.8,8.32,3.55,2.49,0.85,3.778,3.752,96.52,2.16,3.794,3.770,96.68,2.14
Cory Lidle,KC,2006,2006,1,177.3,3.76,2.08,1.81,0.61,3.929,3.916,90.47,2.51,4.210,4.196,96.93,1.91
Cory Luebke,Was,2015,2012,4,760.7,8.72,2.80,3.15,0.67,3.207,3.207,82.65,13.85,3.292,3.292,85.29,13.07
Cory Mazzoni,Phi/Tor/Tex,2018,2016,2,175.7,9.07,2.56,3.51,1.23,3.770,3.746,100.12,0.47,3.588,3.564,95.37,0.88
Cory Rasmus,Mil/Was,2017,2016,2,134.0,9.81,3.29,2.98,1.14,3.789,3.768,100.39,0.34,3.627,3.603,95.32,0.70
Cory Wade,Tam/Flo/TB/TOR,2012,2009,4,152.0,5.63,2.31,8.57,1.48,4.945,5.002,117.98,-0.99,4.088,4.134,97.30,0.60
Craig Breslow,Phi/Tex/LAN/CHN/CHC/Tor,2016,2005,11,506.6,8.01,3.82,2.13,0.98,4.167,4.177,101.91,0.87,4.229,4.241,102.48,0.74
Craig Dingman,WAS,2006,2006,1,105.0,8.66,3.77,2.30,1.37,4.505,4.505,104.06,0.05,5.400,5.400,124.74,-1.05
Craig Hansen,BOS,2009,2009,1,2.0,9.00,18.00,0.50,0.00,7.325,7.229,167.45,-0.06,9.000,8.882,205.74,-0.10
Craig Kimbrel,Atl/Bal/Was/Cin/NYN/SF,2020,2011,10,674.4,13.36,4.16,3.45,0.68,2.612,2.641,68.48,12.53,2.683,2.716,70.21,11.94
Craig Stammen,Ari/ChN/Col,2020,2011,7,530.6,8.28,2.82,3.09,1.24,4.082,3.955,103.61,0.90,3.952,3.825,100.29,1.79
Cristhian Martinez,Det/Cle/Mil,2014,2011,4,316.4,6.63,2.42,2.79,0.80,3.707,3.697,94.88,1.68,4.210,4.199,107.66,-0.35
Curt Schilling,ANA/TB/TEX/Cin/NYM,2009,2005,5,995.6,7.89,1.64,4.88,1.38,4.113,4.118,92.02,13.41,4.617,4.618,103.13,7.70
